,30 Day,60 Day,90 Day,,,30 Day,60 Day,90 Day,,Email:,,gaest@countryplacemortgage.com,,,
Rate,12/29,1/28,2/27,,Rate,12/29,1/28,2/27,,,,,,,
3.375,0.753 ,1.018 ,1.292 ,,2.750,0.969 ,1.281 ,1.581 ,,National Marketing Manager,,,,,
3.500,0.053 ,0.312 ,0.579 ,,2.875,0.316 ,0.590 ,0.859 ,,Contact:,,Bryan Chamberlain,,,
3.625,(0.704),(0.451),(0.191),,3.000,(0.362),(0.126),0.110 ,,Phone:,,(469)-216-1734,,,
3.750,(1.457),(1.211),(0.958),,3.125,(0.986),(0.786),(0.578),,Email,,bchamberlain@countryplacemortgage.com,,,
3.875,(1.811),(1.571),(1.325),,3.250,(1.209),(1.031),(0.841),,,,,,,
4.000,(2.165),(1.932),(1.693),,3.375,(1.433),(1.277),(1.104),,,,,,,
4.125,(2.520),(2.293),(2.060),,3.500,(1.656),(1.522),(1.367),,Rate Lock Questions:,,,,,
4.250,(2.850),(2.632),(2.409),,3.625,(1.868),(1.753),(1.613),,ratelockdesk@countryplacemortgage.com,,,,,
4.375,(3.003),(2.816),(2.621),,3.750,(2.018),(1.908),(1.771),,,,,,,
4.500,(3.157),(3.001),(2.833),,3.875,(2.169),(2.063),(1.929),,Application/Submission Questions:,,,,,
4.625,(3.311),(3.186),(3.045),,4.000,(2.319),(2.217),(2.087),,wholesaleapplication@countryplacemortgage.com,,,,,
4.750,(3.466),(3.369),(3.253),,4.125,(2.474),(2.374),(2.247),,,,,,,
4.875,N/A,(3.543),(3.431),,4.250,(2.647),(2.542),(2.415),,,,,,,
5.000,N/A,N/A,N/A,,4.375,(2.821),(2.710),(2.583),,,,,,,
5.125,N/A,N/A,N/A,,4.500,(2.994),(2.878),(2.751),,,,,,,
,,,,,,,,,,,,,,,
Conventional Loan Level Pricing Adjustments,,,,,,,,,,,,,,,
Applicable to all mortgages > 15 year terms ,,,,,,,,,,,,,,,
Ficos, ? 60% ,60.01% -,70.01% -,75.01% -,80.01% -,85.01% -,90.01% -,95.01% -,,UNDERWRITING GUIDELINES,,,,,
,,70.00%,75.00%,80.00%,85.00%,90.00%,95.00%,97.00%,,MH Note,,,,Max PITI,FICO
 >740 ,-0.250%,0.000%,0.000%,0.250%,0.250%,0.250%,0.250%,0.250%,,Conv Max LTV 95%,,,,30%,620 – 679
 720-739 ,-0.250%,0.000%,0.250%,0.500%,0.500%,0.500%,0.500%,0.500%,,FHA Max LTV 96.5%,,,,35%,680+
  700-719 ,-0.250%,0.500%,0.750%,1.000%,1.000%,1.000%,1.000%,1.000%,,,,,,,
  680-699 ,0.000%,0.500%,1.250%,1.750%,1.500%,1.250%,1.250%,1.000%,,Max DTI,,FICO,,Govt Max LTV,FICO
  660-679 ,0.000%,1.000%,2.000%,2.500%,2.750%,2.250%,2.250%,1.750%,,45%,,620 – 679,,,
  640-659 ,0.500%,1.250%,2.500%,3.000%,3.250%,2.750%,2.750%,2.250%,,50%,,680 – 739,,90%,620 – 649
  620-639 ,0.500%,1.500%,3.000%,3.000%,3.250%,3.250%,3.250%,3.000%,,55%,,740+,,96.50%,650+
  <620 ,0.500%,1.500%,3.000%,3.000%,3.250%,3.250%,3.250%,3.250%,,,,,,,
,,,,,,,,,,,,,,,
Cash Out Transactions,,,,,,,,,,>,Max 2 origination points,,,,
Ficos, ? 60% ,60.01% -,70.01% -,75.01% -,80.01% -,85.01% -,90.01% -,95.01% -,,,,,,,
,,70.00%,75.00%,80.00%,85.00%,90.00%,95.00%,97.00%,,>,"Loan Amount > $ 50,000",,,,
 >740 ,0.000%,0.250%,0.250%,0.500%,0.625%,N/A,N/A,N/A,,,,,,,
  720-739 ,0.000%,0.625%,0.625%,0.750%,1.500%,N/A,N/A,N/A,,>,No Cash Out Refinances in Texas,,,,
  700-719 ,0.000%,0.625%,0.625%,0.750%,1.500%,N/A,N/A,N/A,,,,,,,
  680-699 ,0.000%,0.750%,0.750%,1.375%,2.500%,N/A,N/A,N/A,,>,Minimum of 3 tradelines. (Alternative credit will be,,,,
  660-679 ,0.250%,0.750%,0.750%,1.500%,2.500%,N/A,N/A,N/A,,,"considered if it is substantial; i.e. tote the note car lot, ",,,,
 640-659 ,0.250%,1.250%,1.250%,2.250%,3.000%,N/A,N/A,N/A,,,"apartment or management company references,",,,,
  620-639 ,0.250%,1.250%,1.250%,2.750%,3.000%,N/A,N/A,N/A,,,"credit unions, etc.; utility bills, insurance payments, etc.",,,,
  <620 ,1.250%,2.250%,2.250%,2.750%,3.000%,N/A,N/A,N/A,,,will not be accepted),,,,
,,,,,,,,,,,,,,,
Property Type Adjustments,,,,,,,,,,>,Form 4506 – T is required on all loans,,,,
Property Type, ? 60% ,60.01% -,70.01% -,75.01% -,80.01% -,85.01% -,90.01% -,95.01% -,,,,,,,
,,70.00%,75.00%,80.00%,85.00%,90.00%,95.00%,97.00%,,>,PITI and DTI exceptions will be considered on FICO ,,,,
2 Unit,1.000%,1.000%,1.000%,1.000%,N/A,N/A,N/A,N/A,,,scores >=650 provided there are compensating factors,,,,
3-4 Unit,1.000%,1.000%,1.000%,N/A,N/A,N/A,N/A,N/A,,,,,,,
MH,0.500%,0.500%,0.500%,0.500%,0.500%,0.500%,0.500%,N/A,,>,No gift reserves,,,,
,,,,,,,,,,,,,,,
Mortgages with Subordinate Financing ,,,,,,,,,,>,Max LTV 85% for Government MH Cash Out Refinances,,,,
LTV Range,CLTV Range,Non Interest-Only LLPA,,,,,,,,,,,,,
,,Credit Score < 720,,Credit Score ? 720,,,,,,>,Max LTV 65% for Conventional MH Cash Out Refinances,,,,
?65%,80.01-95%,0.500%,,0.250%,,,,,,,,,,,
65.01-75%,90.01-95%,0.750%,,0.250%,,,,,,>,Max Term 240 for Conventional MH Cash Out Refinances,,,,
75.01-95%,90.01-95%,1.000%,,0.250%,,,,,,,,,,,
75.01-90%,76.01-90%,1.000%,,0.000%,,,,,,>,No investment properties,,,,
? 95%,95.01-97%,1.500%,,,,,,,,,,,,,
,,,,,,,,,,>,Discount points must be bonafide,,,,
CPM Products and Fees,,,,,,,,,,,,,,,
Government 203K Streamline,,,,Government and Conventional  MH 1x Close CTP ,,,,,,>,Conv > 80% with DU Approved Eligible and PMI,,,,
$ 550 UW Fee,,,,$ 550 UW Fee,,,,,,,,,,,
$ 650 Admin Fee,,,,$ 650 Admin Fee,,,,,,,,,,,
Supplemental Origination Fee: ,,,,2% Construction Fee paid by Dealer,,,,,,,,,,,
Greater of  $ 350 or 1.5% of improvement advancement   ,,,,< 720 Fico 12.5% Per Diem Construction Interest paid by dealer,,,,,,,,,,,
,,,,?720 Fico 11% Per Diem Construction Interest paid by dealer,,,,,,,,,,,
,,,,,,,,,,,,,,,
Government and Conventional Existing,,,,,,,,,,,,,,,
$ 550 UW Fee,,,,,,,,,,,,,,,
$ 650 Admin Fee,,,,,,,,,,FHA ID#  2340400002,,,,,
,,,,,,,,,,,,,,,
"EXTENSION, EXTENDED LOCK, AND ESCROW WAIVER FEES",,,,,,,,,,General Information,,,,,
Applies to Conventional and Government Products,,,,,,,,,,,,,,,
EXTENSIONS ,,,EXTENDED LOCK FEES,,,ESCROW WAIVER FEE,,,,>,Mandatory Pricing is available upon request,,,,
30 Day Extension Max,,,120 Days,0.875%,,0.25%,,,,,,,,,
Daily Extension Adjuster = .03,,,,,,Max LTV 80%,,,,,,,,,
,,,,,,FICO 700 +,,,,,,,,,
,,,,,,,,,,,,,,,



,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
